default params
1.0, 0.23, 15.0, 50.0, 0.001, 960.0, 2.4, 3e-07, 12.0, 3e-07, 4800.0, 0.5, 0.01, 30.0, 0.12, 0.1, 60000.0, 0.92, 0.462, 0.462, 0.2, 0.2, 0.2, 0.2, 0.2, 26000.0

param 0: (OT) =,1.2
half fall,0.0,0.0,2.56545131672e-06,2.49999999991e-05,-1.0525885541e-07,0.0,3.64912415389e-10,0.0,0.000211523009057,0.0,-3.57931158845e-06,0.0,4.04453991132e-10,0.0,6.30154133319e-08,0.0,3.27678492673e-09,0.0,

param 5: (kr) =,1152.0
,MR,,R,,R2,,O,,I,,I2R2,,MY,,Y,,YIex,,
,dy,dt,dy,dt,dy,dt,dy,dt,dy,dt,dy,dt,dy,dt,dy,dt,dy,dt,
peak,0.0,0.0,-1.18928135118e-08,0.0,-0.000778925112822,-0.000169999999994,-1.9570188525e-06,-0.000109999999996,-1.67400153894,-0.000104999999996,0.000781252320934,4.99999999981e-06,-2.53322270083e-06,-0.000129999999995,-0.000488912822197,-0.000159999999994,-2.54233396299e-05,-0.000154999999994,
half rise,None,None,-2.90627700794e-08,0.0,-0.000852677999528,6.99999999973e-05,-4.28751917382e-06,-8.49999999968e-05,-2.53943112441,0.000199999999992,0.000885356804403,0.0,-4.78816394164e-06,-5.49999999979e-05,-0.000746347218788,-2.99999999989e-05,-3.88098492091e-05,-2.99999999989e-05,
half fall,0.0,0.0,-1.32332009795e-08,0.0,-0.000853403962158,-0.00129999999995,-4.29845077907e-06,-0.000255000000081,-2.53903527731,-0.000885000000281,0.000868680086256,2.49999999991e-05,-4.78757256226e-06,-0.000380000000121,-0.000746412494304,-0.000435000000138,-3.88081106975e-05,-0.000430000000136,

param 6: (knr) =,2.88
,MR,,R,,R2,,O,,I,,I2R2,,MY,,Y,,YIex,,
,dy,dt,dy,dt,dy,dt,dy,dt,dy,dt,dy,dt,dy,dt,dy,dt,dy,dt,
peak,0.0,0.0,1.00881930587e-08,0.0,0.000768101003546,0.000229999999991,1.92892058462e-06,1.99999999992e-05,1.65142020648,1.49999999994e-05,-0.000770189713592,-4.99999999981e-06,2.49779668701e-06,4.49999999983e-05,0.00048229223293,6.49999999975e-05,2.50790707182e-05,6.49999999975e-05,
half rise,None,None,2.86248005299e-08,0.0,0.000841050529758,1.99999999992e-05,4.23870990571e-06,-4.99999999981e-06,2.50618441068,-0.000284999999989,-0.000826516448797,0.0,4.72284438901e-06,-2.99999999989e-05,0.000736451348619,-5.49999999979e-05,3.83095516601e-05,-5.99999999977e-05,
half fall,0.0,0.0,1.29089533507e-08,0.0,0.000841607011171,0.00136999999995,4.24058079446e-06,0.000160000000051,2.50604073301,0.000790000000251,-0.000845282869776,-2.99999999989e-05,4.72382065871e-06,0.00028500000009,0.000736576596939,0.000340000000108,3.83017894003e-05,0.000340000000108,

param 7: (kdr1) =,3.6e-07
,MR,,R,,R2,,O,,I,,I2R2,,MY,,Y,,YIex,,
,dy,dt,dy,dt,dy,dt,dy,dt,dy,dt,dy,dt,dy,dt,dy,dt,dy,dt,
peak,0.0,0.0,-1.03448639643e-06,0.0,-0.25918027773,-0.000314999999988,-6.25023452855e-06,-0.000379999999986,-5.25401711919,-4.99999999981e-06,0.259183763994,0.000124999999995,-8.04549447424e-06,-0.000324999999988,-0.00154087992831,-0.000324999999988,-8.01253556459e-05,-0.000324999999988,
half rise,None,None,-2.41920836874e-06,0.0,-0.16829568809,-0.000419999999984,-1.34165395121e-05,-0.000284999999989,-7.90463626746,0.000719999999973,0.16828010248,-0.000289999999989,-1.4938233003e-05,-0.000204999999992,-0.00232653286357,-8.49999999968e-05,-0.000120979066889,-8.49999999968e-05,
half fall,0.0,0.0,-2.10755662389e-06,-1.99999999992e-05,-0.168295443694,0.000474999999982,-1.34177120925e-05,-0.000405000000129,-7.90420732273,-0.00236000000075,0.168304497368,0.00199999999992,-1.49377359932e-05,-0.000830000000263,-0.00232655868416,-0.00108000000034,-0.000120980440093,-0.00108000000034,

param 8: (kndr1) =,14.4
,MR,,R,,R2,,O,,I,,I2R2,,MY,,Y,,YIex,,
,dy,dt,dy,dt,dy,dt,dy,dt,dy,dt,dy,dt,dy,dt,dy,dt,dy,dt,
peak,0.0,0.0,1.0490275173e-06,0.0,0.302620773688,0.0145699999994,7.35857552108e-06,0.000109999999996,6.18400727062,-0.000334999999987,-0.302564055414,-0.000564999999979,9.47175965251e-06,4.49999999983e-05,0.00181360574879,3.99999999985e-05,9.43070274019e-05,3.99999999985e-05,
half rise,None,None,2.81597896079e-06,0.0,0.196443744628,0.0141799999995,1.57928080057e-05,4.99999999981e-06,9.29823107894,-0.00115999999996,-0.196437118938,-7.49999999972e-05,1.75734678059e-05,-8.49999999968e-05,0.00273672249636,-0.000224999999991,0.000142323147108,-0.000229999999991,
half fall,0.0,0.0,2.24677973648e-06,2.49999999991e-05,0.196444914294,0.0130749999995,1.57832994988e-05,0.000110000000035,9.29855679425,0.00241500000077,-0.196404556065,-0.00279499999989,1.75723205309e-05,0.000615000000195,0.00273690778134,0.000920000000292,0.000142318485305,0.000920000000292,

param 9: (kdr2) =,3.6e-07
,MR,,R,,R2,,O,,I,,I2R2,,MY,,Y,,YIex,,
,dy,dt,dy,dt,dy,dt,dy,dt,dy,dt,dy,dt,dy,dt,dy,dt,dy,dt,
peak,0.0,0.0,-2.11722385068e-07,0.0,-0.0471205144667,0.0288899999989,0.000371250063899,0.0297799999989,307.355964606,0.0888499999966,0.0467192841353,-0.000604999999977,0.000472077610703,0.0498599999981,0.0898537726206,0.0952699999964,0.00467237281442,0.0952699999964,
half rise,None,None,-4.96689090523e-07,0.0,-0.0315049402252,0.00318999999988,0.00080792699417,0.000719999999973,472.768127488,-0.0220149999992,0.0312940495319,-0.000119999999995,0.000896008624935,0.00130499999995,0.139017934657,0.0107099999996,0.00722891184868,0.0107049999996,
half fall,0.0,0.0,-2.7541650649e-07,-4.99999999981e-06,-0.0315050862908,0.137264999995,0.000807920185065,0.255490000081,472.768086011,0.416060000132,0.0313020157808,-0.00280499999989,0.000896010762066,0.286795000091,0.139018039311,0.352910000112,0.00722890153743,0.352910000112,

param 10: (kndr2) =,5760.0
,MR,,R,,R2,,O,,I,,I2R2,,MY,,Y,,YIex,,
,dy,dt,dy,dt,dy,dt,dy,dt,dy,dt,dy,dt,dy,dt,dy,dt,dy,dt,
